id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
1.0,Male,11654150400.0,15,Manager,57000.0,27000.0,98.0,144.0,No
2.0,Male,11852956800.0,16,Clerical,40200.0,18750.0,98.0,36.0,No
3.0,Female,10943337600.0,12,Clerical,21450.0,12000.0,98.0,381.0,No
4.0,Female,11502518400.0,8,Clerical,21900.0,13200.0,98.0,190.0,No
5.0,Male,11749363200.0,15,Clerical,45000.0,21000.0,98.0,138.0,No
6.0,Male,11860819200.0,15,Clerical,32100.0,13500.0,98.0,67.0,No
7.0,Male,11787552000.0,15,Clerical,36000.0,18750.0,98.0,114.0,No
8.0,Female,12103948800.0,12,Clerical,21900.0,9750.0,98.0,missing,No
9.0,Female,11463897600.0,15,Clerical,27900.0,12750.0,98.0,115.0,No
10.0,Female,11465712000.0,12,Clerical,24000.0,13500.0,98.0,244.0,No
11.0,Female,11591424000.0,16,Clerical,30300.0,16500.0,98.0,143.0,No
12.0,Male,12094012800.0,8,Clerical,28350.0,12000.0,98.0,26.0,Yes
13.0,Male,11920867200.0,15,Clerical,27750.0,14250.0,98.0,34.0,Yes
14.0,Female,11561529600.0,15,Clerical,35100.0,16800.0,98.0,137.0,Yes
15.0,Male,11987654400.0,12,Clerical,27300.0,13500.0,97.0,66.0,No
16.0,Male,12057724800.0,12,Clerical,40800.0,15000.0,97.0,24.0,No
17.0,Male,11984025600.0,15,Clerical,46000.0,14250.0,97.0,48.0,No
18.0,Male,11784355200.0,16,Manager,103750.0,27510.0,97.0,70.0,No
19.0,Male,11986790400.0,12,Clerical,42300.0,14250.0,97.0,103.0,No
20.0,Female,11274508800.0,12,Clerical,26250.0,11550.0,97.0,48.0,No
21.0,Female,12002688000.0,16,Clerical,38850.0,15000.0,97.0,17.0,No
22.0,Male,11295676800.0,12,Clerical,21750.0,12750.0,97.0,315.0,Yes
23.0,Female,12067920000.0,15,Clerical,24000.0,11100.0,97.0,75.0,Yes
24.0,Female,11059113600.0,12,Clerical,16950.0,9000.0,97.0,124.0,Yes
25.0,Female,11351404800.0,15,Clerical,21150.0,9000.0,97.0,171.0,Yes
26.0,Male,12120019200.0,15,Clerical,31050.0,12600.0,96.0,14.0,No
27.0,Male,11721110400.0,19,Manager,60375.0,27480.0,96.0,96.0,No
28.0,Male,12007094400.0,15,Clerical,32550.0,14250.0,96.0,43.0,No
29.0,Male,11401171200.0,19,Manager,135000.0,79980.0,96.0,199.0,No
30.0,Male,11957760000.0,15,Clerical,31200.0,14250.0,96.0,54.0,No
31.0,Male,12034656000.0,12,Clerical,36150.0,14250.0,96.0,83.0,No
32.0,Male,11716790400.0,19,Manager,110625.0,45000.0,96.0,120.0,No
33.0,Male,11941948800.0,15,Clerical,42000.0,15000.0,96.0,68.0,No
34.0,Male,11559456000.0,19,Manager,92000.0,39990.0,96.0,175.0,No
35.0,Male,11955513600.0,17,Manager,81250.0,30000.0,96.0,18.0,No
36.0,Female,12017289600.0,8,Clerical,31350.0,11250.0,96.0,52.0,No
37.0,Male,11738736000.0,12,Clerical,29100.0,13500.0,96.0,113.0,Yes
38.0,Male,11976940800.0,15,Clerical,31350.0,15000.0,96.0,49.0,Yes
39.0,Male,11918707200.0,16,Clerical,36000.0,15000.0,96.0,46.0,Yes
40.0,Female,11072419200.0,15,Clerical,19200.0,9000.0,96.0,23.0,Yes
41.0,Female,11941948800.0,12,Clerical,23550.0,11550.0,96.0,52.0,Yes
42.0,Male,11926742400.0,15,Clerical,35100.0,16500.0,95.0,90.0,No
43.0,Male,12031459200.0,12,Clerical,23250.0,14250.0,95.0,46.0,No
44.0,Male,12012710400.0,8,Clerical,29250.0,14250.0,95.0,50.0,No
45.0,Male,11227939200.0,12,Custodial,30750.0,13500.0,95.0,307.0,No
46.0,Female,11300428800.0,15,Clerical,22350.0,12750.0,95.0,165.0,No
47.0,Female,11219644800.0,12,Clerical,30000.0,16500.0,95.0,228.0,No
48.0,Male,11507097600.0,12,Custodial,30750.0,14100.0,94.0,240.0,No
49.0,Male,11862979200.0,15,Clerical,34800.0,16500.0,94.0,93.0,No
50.0,Male,11907129600.0,16,Manager,60000.0,23730.0,94.0,59.0,No
51.0,Male,11983161600.0,12,Clerical,35550.0,15000.0,94.0,48.0,No
52.0,Male,12025670400.0,15,Clerical,45150.0,15000.0,94.0,40.0,No
53.0,Male,11723961600.0,18,Manager,73750.0,26250.0,94.0,56.0,No
54.0,Male,11001916800.0,12,Clerical,25050.0,13500.0,94.0,444.0,No
55.0,Male,11918966400.0,12,Clerical,27000.0,15000.0,94.0,120.0,No
56.0,Male,11975990400.0,15,Clerical,26850.0,13500.0,94.0,5.0,No
57.0,Male,12007440000.0,15,Clerical,33900.0,15750.0,94.0,78.0,No
58.0,Female,12057465600.0,15,Clerical,26400.0,13500.0,94.0,3.0,No
59.0,Male,11946268800.0,15,Clerical,28050.0,14250.0,94.0,36.0,Yes
60.0,Male,11876198400.0,12,Clerical,30900.0,15000.0,94.0,102.0,Yes
61.0,Male,12040185600.0,8,Clerical,22500.0,9750.0,94.0,36.0,Yes
